Sample,districts,collection_location,water_source,latitude,longitude,tubes_positive_coliforms,tubes_positive_e.coli,coliform_mpn_100mL,e_coli_mpn_100mL,ecoli_risk_level,coliform_risk_level
164,Kinondoni,Magomeni,Open Well,-6.799867,39.256262,5,1,16,2.2,Low Risk,Intermediate Risk
165,Kinondoni,Magomeni,Open Well,-6.780629,39.256289,5,5,16,16,Intermediate Risk,Intermediate Risk
181,Kinondoni,Mwananyamala,Open Well,-6.780353,39.254029,5,5,16,16,Intermediate Risk,Intermediate Risk
182,Kinondoni,Mwananyamala,Open Well,-6.796835,39.254343,5,5,16,16,Intermediate Risk,Intermediate Risk
193,Kinondoni,Tandale,Open Well,-6.765001,39.244012,5,5,16,16,Intermediate Risk,Intermediate Risk
209,Kinondoni,Msasani,Borehole,-6.810788,39.267888,5,3,16,9.2,Low Risk,Intermediate Risk
84,Kinondoni,CocoBeach,Beach,-6.810788,39.297949,5,5,16,16,Intermediate Risk,Intermediate Risk
85,Kinondoni,CocoBeach,Beach,-6.810788,39.297961,5,5,16,16,Intermediate Risk,Intermediate Risk
86,Kinondoni,CocoBeach,Beach,-6.810788,39.297951,5,5,16,16,Intermediate Risk,Intermediate Risk
87,Kinondoni,CocoBeach,Beach,-6.810788,39.297952,5,5,16,16,Intermediate Risk,Intermediate Risk
88,Kinondoni,CocoBeach,Beach,-6.810788,39.297953,5,5,16,16,Intermediate Risk,Intermediate Risk
89,Kinondoni,CocoBeach,Beach,-6.810788,39.297954,5,5,16,16,Intermediate Risk,Intermediate Risk
90,Kinondoni,CocoBeach,Beach,-6.810788,39.297955,5,5,16,16,Intermediate Risk,Intermediate Risk
